Domain,Company,Original_Name,PE Firm,Year,Source
manischewitz.com,Manischewitz,Manischewitz,Bain Capital companies,Unknown,Wikipedia
mirrorlakerecoverycenter.com,Mirror Lake Recovery Center,Mirror Lake Recovery Center,Bain Capital companies,Unknown,Wikipedia
mixpanel.com,Mixpanel,Mixpanel,Bain Capital companies,Unknown,Wikipedia
mountbacheloracademy.com,Mount Bachelor Academy,Mount Bachelor Academy,Bain Capital companies,Unknown,Wikipedia
myobcompany.com,MYOB (company),MYOB (company),Kohlberg Kravis Roberts companies,Unknown,Wikipedia
newleafacademy.com,New Leaf Academy,New Leaf Academy,Bain Capital companies,Unknown,Wikipedia
nexi.com,Nexi,Nexi,Bain Capital companies,Unknown,Wikipedia
northstarcenter.com,NorthStar Center,NorthStar Center,Bain Capital companies,Unknown,Wikipedia
optimizely.com,Optimizely,Optimizely,Bain Capital companies,Unknown,Wikipedia
pennfostercareerschool.com,Penn Foster Career School,Penn Foster Career School,Bain Capital companies,Unknown,Wikipedia
pennfostercollege.com,Penn Foster College,Penn Foster College,Bain Capital companies,Unknown,Wikipedia
physiocontrol.com,Physio-Control,Physio-Control,Bain Capital companies,Unknown,Wikipedia
pronovias.com,Pronovias,Pronovias,Bain Capital companies,Unknown,Wikipedia
puhuainternationalhospitalandclinics.com,Puhua International Hospital and Clinics,Puhua International Hospital and Clinics,Bain Capital companies,Unknown,Wikipedia
ravemobilesafety.com,Rave Mobile Safety,Rave Mobile Safety,Bain Capital companies,Unknown,Wikipedia
retailzoo.com,Retail Zoo,Retail Zoo,Bain Capital companies,Unknown,Wikipedia
ritmotecacom.com,Ritmoteca.com,Ritmoteca.com,Bain Capital companies,Unknown,Wikipedia
sealycorporation.com,Sealy Corporation,Sealy Corporation,Kohlberg Kravis Roberts companies,Unknown,Wikipedia
sedonaskyacademy.com,Sedona Sky Academy,Sedona Sky Academy,Bain Capital companies,Unknown,Wikipedia
sendgrid.com,SendGrid,SendGrid,Bain Capital companies,Unknown,Wikipedia
sevone.com,SevOne,SevOne,Bain Capital companies,Unknown,Wikipedia
shoppersdrugmart.com,Shoppers Drug Mart,Shoppers Drug Mart,Kohlberg Kravis Roberts companies,Unknown,Wikipedia
siemensdigitalindustriessoftware.com,Siemens Digital Industries Software,Siemens Digital Industries Software,Warburg Pincus companies,Unknown,Wikipedia
squaretrade.com,SquareTrade,SquareTrade,Bain Capital companies,Unknown,Wikipedia
stackdriver.com,Stackdriver,Stackdriver,Bain Capital companies,Unknown,Wikipedia
stadaarzneimittel.com,Stada Arzneimittel,Stada Arzneimittel,Bain Capital companies,Unknown,Wikipedia
sungard.com,SunGard,SunGard,Kohlberg Kravis Roberts companies,Unknown,Wikipedia
surveymonkey.com,SurveyMonkey,SurveyMonkey,Bain Capital companies,Unknown,Wikipedia
tmlewin.com,T. M. Lewin,T. M. Lewin,Bain Capital companies,Unknown,Wikipedia
teachtown.com,TeachTown,TeachTown,Bain Capital companies,Unknown,Wikipedia
tealium.com,Tealium,Tealium,Bain Capital companies,Unknown,Wikipedia
tifluidsystems.com,TI Fluid Systems,TI Fluid Systems,Bain Capital companies,Unknown,Wikipedia
tigerairaustralia.com,Tigerair Australia,Tigerair Australia,Bain Capital companies,Unknown,Wikipedia
tokbox.com,TokBox,TokBox,Bain Capital companies,Unknown,Wikipedia
tomsshoes.com,Toms Shoes,Toms Shoes,Bain Capital companies,Unknown,Wikipedia
totesisotoner.com,Totes Isotoner,Totes Isotoner,Bain Capital companies,Unknown,Wikipedia
toysrus.com,"Toys ""R"" Us","Toys ""R"" Us",Kohlberg Kravis Roberts companies,Unknown,Wikipedia
transmaldivianairways.com,Trans Maldivian Airways,Trans Maldivian Airways,Bain Capital companies,Unknown,Wikipedia
trinseo.com,Trinseo,Trinseo,Bain Capital companies,Unknown,Wikipedia
turbonomic.com,Turbonomic,Turbonomic,Bain Capital companies,Unknown,Wikipedia
unisourceworldwide.com,Unisource Worldwide,Unisource Worldwide,Bain Capital companies,Unknown,Wikipedia
uniview.com,Uniview,Uniview,Bain Capital companies,Unknown,Wikipedia
usinternetworking.com,USinternetworking,USinternetworking,Bain Capital companies,Unknown,Wikipedia
valeofoods.com,Valeo Foods,Valeo Foods,Bain Capital companies,Unknown,Wikipedia
varsitybrands.com,Varsity Brands,Varsity Brands,Kohlberg Kravis Roberts companies,Unknown,Wikipedia
vention.com,Vention,Vention,Bain Capital companies,Unknown,Wikipedia
virginaustralia.com,Virgin Australia,Virgin Australia Holdings,Bain Capital companies,Unknown,Wikipedia
virginvoyages.com,Virgin Voyages,Virgin Voyages,Bain Capital companies,Unknown,Wikipedia
warnermusic.com,Warner Music,Warner Music Group,Providence Equity Partners companies,Unknown,Wikipedia
weather.com,Weather,The Weather Company,Bain Capital companies,Unknown,Wikipedia
wellspringacademies.com,Wellspring Academies,Wellspring Academies,Bain Capital companies,Unknown,Wikipedia
worldpay.com,Worldpay,Worldpay Group,Bain Capital companies,Unknown,Wikipedia
wrike.com,Wrike,Wrike,Bain Capital companies,Unknown,Wikipedia
youku.com,Youku,Youku,Bain Capital companies,Unknown,Wikipedia
zeroturnaround.com,ZeroTurnaround,ZeroTurnaround,Bain Capital companies,Unknown,Wikipedia
americanaxle.com,American Axle,American Axle,Blackstone Inc. companies,Unknown,Wikipedia
ancestrycom.com,Ancestry.com,Ancestry.com,Silver Lake (investment firm) companies,Unknown,Wikipedia
candlemedia.com,Candle Media,Candle Media,Blackstone Inc. companies,Unknown,Wikipedia
chicagoandnorthwesternrailway.com,Chicago and North Western Railway,Chicago and North Western Railway,Blackstone Inc. companies,Unknown,Wikipedia
cineworld.com,Cineworld,Cineworld,Blackstone Inc. companies,Unknown,Wikipedia
civicacompany.com,Civica (company),Civica (company),Blackstone Inc. companies,Unknown,Wikipedia
crownresorts.com,Crown Resorts,Crown Resorts,Blackstone Inc. companies,Unknown,Wikipedia
